date,timestamp,count
2026-07-02T00:00:00.000Z,1782950400000,60
2026-07-03T00:00:00.000Z,1783036800000,43
2026-07-04T00:00:00.000Z,1783123200000,36
2026-07-05T00:00:00.000Z,1783209600000,36
2026-07-06T00:00:00.000Z,1783296000000,34
2026-07-07T00:00:00.000Z,1783382400000,31
2026-07-08T00:00:00.000Z,1783468800000,37
2026-07-09T00:00:00.000Z,1783555200000,45
2026-07-10T00:00:00.000Z,1783641600000,49
2026-07-11T00:00:00.000Z,1783728000000,27
2026-07-12T00:00:00.000Z,1783814400000,41
2026-07-13T00:00:00.000Z,1783900800000,42
2026-07-14T00:00:00.000Z,1783987200000,34
2026-07-15T00:00:00.000Z,1784073600000,44
2026-07-16T00:00:00.000Z,1784160000000,39
2026-07-17T00:00:00.000Z,1784246400000,49
2026-07-18T00:00:00.000Z,1784332800000,35
2026-07-19T00:00:00.000Z,1784419200000,31
2026-07-20T00:00:00.000Z,1784505600000,38
2026-07-21T00:00:00.000Z,1784592000000,32
2026-07-22T00:00:00.000Z,1784678400000,33
2026-07-23T00:00:00.000Z,1784764800000,47
2026-07-24T00:00:00.000Z,1784851200000,51
2026-07-25T00:00:00.000Z,1784937600000,19
2026-07-26T00:00:00.000Z,1785024000000,50
2026-07-27T00:00:00.000Z,1785110400000,51
2026-07-28T00:00:00.000Z,1785196800000,45
2026-07-29T00:00:00.000Z,1785283200000,38
2026-07-30T00:00:00.000Z,1785369600000,51
2026-07-31T00:00:00.000Z,1785456000000,41
2026-08-01T00:00:00.000Z,1785542400000,10
